VIDEO_NUM,PAIR,INITIATIVE_F,INITIATIVE_M,F0,F1,F2,F3,F4,F5,F6,F7,F8,M0,M1,M2,M3,M4,M5,M6,M7,M8,ACTION,STIMILUS_NAME,VALENCE
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,hug,Hug1_p,positive
2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,hug,Hug2_p,positive
3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,Hug,Hug3_p,Positive
4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,Stroke,Str1_p,Positive
5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Stroke,Str2_p,Positive
6,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Hold,Hold1_p,Positive
7,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tap,Tap1_neu,Neutral
8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Shake,sha1_n,Negative
9,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Shake,Sha2_n,Negative
10,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Grip,Gri1_n,Negative
11,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NwE,Nudg1_n,Negative
12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NwE,Nudg2_n,Negative
13,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Slap,Slap1_n,Negative
14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,hug,Hug1_p,positive
15,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,hug,Hug2_p,positive
16,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,Hug,Hug3_p,Positive
17,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Stroke,Str1_p,Positive
18,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Stroke,Str2_p,Positive
19,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Hold,Hold1_p,Positive
20,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tap,Tap1_neu,Neutral
21,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Shake,sha1_n,Negative
22,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Shake,Sha2_n,Negative
23,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Grip,Gri1_n,Negative
24,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NwE,Nudg1_n,Negative
25,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NwE,Nudg2_n,Negative
26,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Slap,Slap1_n,Negative
27,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,hug,Hug1_p,positive
28,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,hug,Hug2_p,positive
29,3,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,Hug,Hug3_p,Positive
30,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Stroke,Str1_p,Positive
31,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Stroke,Str2_p,Positive
32,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Hold,Hold1_p,Positive
33,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Tap,Tap1_neu,Neutral
34,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Shake,sha1_n,Negative
35,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Shake,Sha2_n,Negative
36,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Grip,Gri1_n,Negative
37,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NwE,Nudg1_n,Negative
38,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, NwE,Nudg2_n,Negative
39,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Slap,Slap1_n,Negative
